hostname,state,software,user_count,note_count,peer_count,discovered_at
stareinto.space,up,mastodon,2,630,9545,1668010890
iu.social,up,mastodon,188,283,1368,1668904975
don.taprix.org,up,mastodon,1,980,4507,1612578266
bonequest.net,up,mastodon,120,13468,13231,1667726348
social.jacklinke.com,up,mastodon,1,854,7256,1667601953
social.granularperspective.com,up,mastodon,4,446,7650,1675294937
cailincat.cloud,up,mastodon,5,6078,13209,1653867820
social.wake.st,up,mastodon,1,33776,33626,1612578265
social.undeadnetwork.de,up,mastodon,6,296,11302,1613534350
zepi.social,up,mastodon,2,91,4743,1668792643
social.nerdnet.ovh,up,mastodon,8,282,5996,1670466309
eepy.life,up,mastodon,4,5875,9938,1702764984
catnest.net,up,mastodon,1,185,6965,1688343288
toot.ericrie.se,up,mastodon,2,187,5797,1671228473
yakyudon.net,up,mastodon,623,123602,1632,1612578267
audiophile-mastodon.com,up,mastodon,9,20417,253,1612579013
wmd.social,up,mastodon,4,40,484,1670008840
338338.xyz,up,mastodon,23,1045,937,1612579379
zeroes.ca,up,mastodon,1315,342860,30183,1651055761
oldpeople.cafe,up,mastodon,10,65,7352,1668067737
mastodon.pretendo.network,up,mastodon,4,213,5431,1668904961
mastodon.micha.priv.at,up,mastodon,3,99,6932,1671425111
mastodon.ir0k.de,up,mastodon,4,1194,14722,1660413149
protogen.social,up,mastodon,44,334,2698,1688597038
decco.net,up,mastodon,4,4584,1320,1671488600
nejiamasi.com,up,mastodon,2,855,4766,1612578344
mastodon.tocaj.ch,up,mastodon,3,1,1048,1670985697
ap.pachy.social,up,mastodon,2,0,4828,1671834059
social.youhoo.fr,up,mastodon,3,30,535,1669408662
kinktroet.social,up,mastodon,145,3487,11161,1651166688
mst.canor.kr,up,mastodon,22,53886,7361,1612578269
netmonkey.xyz,up,mastodon,3,3669,10825,1667534545
naapurinpoika.com,up,mastodon,6,556,6389,1676760069
mastodon.emmetcoughlan.com,up,mastodon,1,144,6906,1668936651
tooter.thespawn.net,up,mastodon,4,2,13,1707477814
rovers.social,up,mastodon,4,43,4782,1678898218
shmg.online,up,mastodon,4,5956,14394,1671528654
1435.es,up,mastodon,1,55,8616,1693096031
social.115upm.net,up,mastodon,2,0,1240,1714857343
xn--xxa.computer,up,mastodon,4,1787,13648,1667369544
social.nitrokey.com,up,mastodon,1,807,4915,1612578267
kfem.cat,up,mastodon,2343,58682,12576,1634149446
social.anthro.fun,up,mastodon,3,210,11259,1672380619
upload.chat,up,mastodon,3,344,6589,1668266931
social.alacasa.fr,up,mastodon,3,3,1093,1612578267
pfft.lol,up,mastodon,10,644,7190,1669015852
mastodon.woitschetzki.de,up,mastodon,3,66,6018,1689807944
social.maplecrew.org,up,mastodon,4,607,10594,1672696922
don.gomasy.jp,up,mastodon,7,82129,4593,1612578269
wonkodon.com,up,mastodon,311,33758,18389,1667203580
mstdn.yamaken.jp,up,mastodon,1,21,3399,1612578268
mutant.cz,up,mastodon,2,126,1504,1668618740
social.mei-home.net,up,mastodon,1,6426,13984,1659589265
mstdn.nere9.help,up,mastodon,476,1233261,20345,1612578267
magpie.gay,up,mastodon,1,1044,4487,1675074341
mastodon.enitin.xyz,up,mastodon,4,160,10075,1708843381
mensmaaktmooi.nl,up,mastodon,4,453,3803,1652215256
felin.social,up,mastodon,2,2102,9973,1674410569
gayfr.social,up,mastodon,106,48602,17168,1671212417
escobar.social,up,mastodon,1,648,8692,1694299039
social.fallenstar.de,up,mastodon,4,6,288,1713729607
social.myl.moe,up,mastodon,1,245,4014,1688920189
relayfm.social,up,mastodon,10,1995,9608,1676418058
cosplay.earth,up,mastodon,18,132,1928,1612578266
ellie.social,up,mastodon,3,985,6792,1669132100
social.mcqn.com,up,mastodon,2,104,6715,1667593047
surutodon.net,up,mastodon,1,11541,3538,1674745336
nullio.net,up,mastodon,1,262,4851,1691746232
ludosphere.fr,up,mastodon,842,104936,27394,1612578266
mastodon.madnight.co.uk,up,mastodon,3,0,252,1696427763
social.colormixed.de,up,mastodon,2,0,410,1717279687
social.bund.de,up,mastodon,142,47446,24079,1612578267
social.kramse.org,up,mastodon,8,6692,19322,1653307920
social.orangechair.org,up,mastodon,1,60,10814,1671520247
chocot.art,up,mastodon,4,6699,6,1612582512
recsys.social,up,mastodon,90,12038,19179,1666507959
social.alexn.org,up,mastodon,1,2364,7549,1671377213
web-dev.social,up,mastodon,3,221,4713,1668558063
fedilab.de,up,mastodon,1,352,6723,1670259942
roleplayers.bub.org,up,mastodon,87,24098,13882,1614097854
toot.the-cloud.io,up,mastodon,1,5,2250,1668573835
mastodon.hellsite.net,up,mastodon,8,1145,8592,1639653934
ma.fellr.net,up,mastodon,1,5634,98019,1670349209
mastodon.knuspel.eu,up,mastodon,3,115,4128,1668768464
burnout.cafe,up,mastodon,4,811,13420,1692321965
mastodon.airi.tv,up,mastodon,2,98,1930,1668769134
m.geraffel.net,up,mastodon,28,1851,11140,1612578268
social.pmj.rocks,up,mastodon,6,30410,14351,1612578266
ocf.masto.host,up,mastodon,57,5353,4317,1612578346
lilkev.dev,up,mastodon,4,20,5440,1688866298
mastodon.kd9nsc.com,up,mastodon,1,10,628,1685320019
syzito.xyz,up,mastodon,11,21885,17718,1690574259
social.inzeiten.de,up,mastodon,1,1605,8403,1651179260
mastodon.hamdorf.org,up,mastodon,2,12,369,1718720254
m.understars.dev,up,mastodon,1,15,2,1705644219
wholesome.computer,up,mastodon,13,691,7915,1667405496
mastodon.datablob.de,up,mastodon,1,74,4132,1654502436
mastodon.cardina1.red,up,mastodon,3,217926,9250,1612578265
einbeck.social,up,mastodon,33,7651,12399,1668788394
fioredon.ysizuku.com,up,mastodon,2,0,665,1713457174
systerserver.town,up,mastodon,106,21870,27391,1612578268
theorangeone.net,up,mastodon,1,165,,1668778461
awoo.chat,up,mastodon,22,817,6714,1612578266
hobbs-end.uk,up,mastodon,8,971,15626,1668904961
mastodon.pinqin.cloud,up,mastodon,2,0,465,1707600122
gwah.social,up,mastodon,3,39,2221,1699585229
mastodon.activitypub.be,up,mastodon,2,320,6050,1668623599
emacs.ch,up,mastodon,1210,112448,23964,1668155160
frikiverse.zone,up,mastodon,252,54919,22268,1667353238
social.azuki.co,up,mastodon,14,130,1985,1698229767
mastodon.despise.computer,up,mastodon,6,689,7490,1698728072
qn.krig.jp,up,mastodon,35,156345,72,1695883813
cijber.social,up,mastodon,4,17536,16886,1612578269
social.ahlroos.me,up,mastodon,12,1458,8439,1668978635
mariameeting.masto.host,up,mastodon,5,2474,6580,1690661852
masto.thepit.space,up,mastodon,1,386,6494,1670128886
ianstormtaylor.social,up,mastodon,1,75,7756,1667247060
better.boston,up,mastodon,651,100107,22977,1667919979
minions.social,up,mastodon,70,62,1370,1688474582
sudojudo.com,up,mastodon,3,71,103522,1671399148
verse.aubrielee.com,up,mastodon,1,75,1756,1673851141
lionizers.social,up,mastodon,5,5,63,1712672324
arkm.social,up,mastodon,17,1051,6055,1700840136
m.sirousa.me,up,mastodon,1,96,419,1612578344
gsw.social,up,mastodon,2,0,3,1678380508
tatooine.club,up,mastodon,28,5820,14465,1668156430
social.raytec.co,up,mastodon,4,11131,18908,1668246422
photog.social,up,mastodon,3256,536124,40019,1612578268
social.amatriain.site,up,mastodon,1,1059,4685,1671417283
social.iterna.de,up,mastodon,3,1,6664,1626804749
pfeifling.de,up,mastodon,1,3374,4543,1668089685
plushies.social,up,mastodon,74,57712,16576,1651882767
academiccloud.social,up,mastodon,494,3472,10505,1671727943
mastodon.balamb.fr,up,mastodon,3,2068,20165,1657476796
sporedrive.space,up,mastodon,1,744,9278,1690418727
toot.tux.si,up,mastodon,3,190,4384,1667789936
ourislandgeorgia.net,up,mastodon,15,9211,21844,1612578270
mastodon.hexix.de,up,mastodon,12,1457,11850,1668261449
mastodon.wien,up,mastodon,594,5710,18537,1668663876
mastodon.vnvie.ws,up,mastodon,2,38,2103,1688522846
thepit.social,up,mastodon,213,41667,25248,1667238267
m.aqr.af,up,mastodon,2,162831,13965,1612578266
crowsnest.social,up,mastodon,11,2555,8760,1668361015
m6n.akimasa.jp,up,mastodon,2,80,1581,1672596952
social.techniverse.net,up,mastodon,3,144,4553,1711557455
darktundra.xyz,up,mastodon,11,51629,16945,1684637011
tolppa.thermopylas.fi,up,mastodon,2,22,7515,1669164413
social.sachsen-anhalt.de,up,mastodon,7,1531,3179,1688754110
freight.fan,up,mastodon,3,1,5,1667600829
ma.wumix.net,up,mastodon,1,4,213,1719349800
mastodon.breiteberg.de,up,mastodon,6,66,4698,1671042638
m.g3l.org,up,mastodon,237,189194,20708,1612578266
social.dropbear.xyz,up,mastodon,4,2449,24129,1612578271
palcarajo.social,up,mastodon,1,889,7660,1712629994
futen.work,up,mastodon,77,170259,9294,1612578268
recordon.mamemo.online,up,mastodon,32,5711,5272,1669161021
restive.social,up,mastodon,1,555,11325,1689399840
pandas.social,up,mastodon,12,1237,20097,1655765740
steloj.xyz,up,mastodon,5,18,39,1705793962
mastodon.snakenode.eu,up,mastodon,2,36,5869,1612578265
gochisou.photo,up,mastodon,233,85313,9494,1612578268
bb5.social,up,mastodon,13,809,1990,1699763355
social.cyber.harvard.edu,up,mastodon,2,33,857,1671604681
blop.social,up,mastodon,25,4979,21695,1667918998
mxtthxw.art,up,mastodon,1,1637,16665,1647465890
fedi.transgendershitposting.com,up,mastodon,3,471,5600,1715478100
social.martins-almeida.com,up,mastodon,2,29,1557,1697519977
inclusion.click,up,mastodon,7,33,4163,1673448806
social.mfraters.net,up,mastodon,2,18,6373,1619503802
social.sparkforge.pro,up,mastodon,4,11,3693,1671442075
social.walterebert.com,up,mastodon,1,1033,9513,1667589095
mastodon.theaddict.club,up,mastodon,1,1,676,1719794435
mastodon.vtip.me,up,mastodon,4,231,2530,1669072588
fedi.adamm.cc,up,mastodon,3,791,2583,1715537090
mastodon.solar,up,mastodon,12,1045,14657,1671609996
nodotsam.com,up,mastodon,4,6,1039,1675931049
demoncore.info,up,mastodon,7,336,8434,1667227355
kibris.be,up,mastodon,10,13048,821,1698331333
p.gow.fr,up,mastodon,2,21,2199,1675894854
social.nanaka.love,up,mastodon,1,386,470,1668033349
animal.business,up,mastodon,45,14808,15402,1612578271
mastodon.nekojimi.moe,up,mastodon,3,315,6661,1668276311
disiviva.tips,up,mastodon,1,0,0,1622576479
social.mikewells.name,up,mastodon,1,128,3986,1668257564
mastodon.cathect.net,up,mastodon,1,0,5839,1667924376
moep.social,up,mastodon,3,12,1974,1714626832
bassrock.social,up,mastodon,2,86,2472,1708130353
www.blabbergoats.com,up,mastodon,8,293,7483,1671616180
twitter4.me,up,mastodon,3,1,452,1671838101
mastodon.tds.xyz,up,mastodon,3,1847,12780,1612578345
nc.social,up,mastodon,40,1354,9843,1668743403
oulipo.social,up,mastodon,1113,152652,25948,1612578266
mast.querie.net,up,mastodon,1,503,62,1668773318
mastodon.gizm0.dev,up,mastodon,2,22,4298,1668789009
gatorcountry.club,up,mastodon,2,39,20,1682307978
kraut.social,up,mastodon,1,65,1672,1658841872
stefankoopmanschap.nl,up,mastodon,1,2915,9685,1675505592
social.lino.cooking,up,mastodon,1,0,735,1681225755
social.begyn.be,up,mastodon,1,4,5197,1669323785
toot.thoughtworks.com,up,mastodon,882,14164,26791,1612578271
esolis.social,up,mastodon,1,0,2043,1621693619
mastodon.fedivienne.org,up,mastodon,12,896,9512,1695318327
trashbrain.org,up,mastodon,14,54,4196,1669218645
mastodon.li,up,mastodon,667,4852,9710,1612578266
humphreys.world,up,mastodon,1,0,105,1717980712
social.riversouldiers.dk,up,mastodon,5,588,11309,1651608000
caluser.social,up,mastodon,2,3,3092,1673640876
ticos.social,up,mastodon,7,5640,8277,1671831892
shelter.moe,up,mastodon,1650,415423,31455,1612578268
etc.passwd.org,up,mastodon,4,41,5280,1668904985
social.ndn.digital,up,mastodon,13,19,855,1636736037
gameliberty.club,up,mastodon,2518,764571,45785,1612578268
fediverse.leavingorbit.de,up,mastodon,1,431,6182,1700487724
social.bytten-studio.com,up,mastodon,3,94,8856,1669339459
mastodon.leblanc.io,up,mastodon,2,7,4853,1615690539
uri.life,up,mastodon,3429,599347,13299,1612578387
onisoc.xyz,up,mastodon,1,100,6104,1669362855
mastodon.r-flash.eu,up,mastodon,2,288,9267,1667097705
puntarella.party,up,mastodon,328,186844,18845,1620153673
bots.krohsnest.com,up,mastodon,174,276336,1904,1672559136
social.zerospire.com,up,mastodon,2,0,1070,1697833840
tenforward.social,up,mastodon,667,483989,37153,1612578270
est.social,up,mastodon,1131,27551,16876,1668904962
social.town-square.de,up,mastodon,1,0,0,1697911602
mastodon.schule,up,mastodon,464,725,7507,1669684589
mastodon.infodocs.eu,up,mastodon,18,267,1927,1698900717
social.michels.xyz,up,mastodon,2,697,7312,1650948014
mastodon.tmm.cx,up,mastodon,5,3016,15075,1671202277
brunic.com,up,mastodon,2,14,7,1706114249
whale.party,up,mastodon,2,362,8540,1689053798
cruisers.social,up,mastodon,4,13,973,1612578710
mastodon.indiegamesdevel.com,up,mastodon,3,4,1597,1688425671
social.mailbox.org,up,mastodon,1,110,3088,1692241281
mstdn.guru,up,mastodon,4770,1712863,17326,1612578268
mastodon.chabal.es,up,mastodon,1,148,5306,1676290677
sns.mszpro.com,up,mastodon,4,248,5474,1668906793
mastodon.joaoleitao.org,up,mastodon,16,221,11917,1694279634
iam.mikei.sh,up,mastodon,1,30,4691,1667935380
pounced-on.me,up,mastodon,282,167776,29145,1612578270
pouet.me,up,mastodon,3,536,3281,1612578270
talk.stayas.one,up,mastodon,3,890,8960,1667337077
reshet.social,up,mastodon,10,918,7524,1670640813
social.npo.nl,up,mastodon,13,936,4823,1699435249
www.mastodon.scot,up,mastodon,28816,2032007,39878,1640988107
deaf.group,up,mastodon,6,2,67,1686472000
chiasm.app,up,mastodon,5,22,3863,1667684738
kiritan.work,up,mastodon,318,2148879,9538,1612578268
toot.root.se,up,mastodon,1,6,1610,1679294993
mastodon.roelz.me,up,mastodon,1,25,2,1697154418
social.mastolivre.fr,up,mastodon,9,6,566,1667588550
fulda.social,up,mastodon,3197,62059,20869,1612578270
social.am-networks.fr,up,mastodon,2,49925,2400,1672200848
megatherium.org,up,mastodon,14,74,7082,1668985698
fediverse.xavin.net,up,mastodon,8,10040,10316,1612578269
retrorewind.social,up,mastodon,24,2033,9430,1671253984
social.itshalfempty.com,up,mastodon,1,4,341,1719088004
birds.social,up,mastodon,15,224,4726,1668242050
fidget.place,up,mastodon,2,532,7045,1715933192
barcamp.social,up,mastodon,48,12462,16113,1612578268
social.underza.net,up,mastodon,3,101,2161,1675019526
social.evilcyberhacker.net,up,mastodon,2,4331,17677,1633473488
fedi.acornfarmer.dev,up,mastodon,1,2,4320,1668320476
the.tonytiger.club,up,mastodon,2,130,7574,1689847739
ourempty.pub,up,mastodon,1,4570,19453,1612578266
social.fallenbeck.com,up,mastodon,1,211,3324,1703345529
mastodon.ig.nore.me,up,mastodon,2,66,4831,1675782742
podcastindex.social,up,mastodon,1347,116786,28111,1612578267
bat.chat,up,mastodon,11,0,2668,1650427866
onenightkoi.masto.host,up,mastodon,38,46,1,1719837488
mstdn.beah.jp,up,mastodon,2,51,62,1705762301
mastodon.mindlesstux.com,up,mastodon,2,134,11396,1612578265
family.derlemue.com,up,mastodon,12,410,1,1650035568
hello.2heng.xin,up,mastodon,2453,242244,17205,1612578266
mudhut.social,up,mastodon,9,1532,14193,1672346441
mastodon.technosorcery.net,up,mastodon,1,329,15494,1612578390
carl.fish,up,mastodon,1,701,9347,1666928617
akasaka.org,up,mastodon,4,30,0,1708706073
large.social,up,mastodon,1,24,6081,1671513344
mtdn.saprayworld.com,up,mastodon,1,30,12,1671239250
kvlt.zone,up,mastodon,2,65483,19327,1639720263
mastodon.praxis.red,up,mastodon,9,1375,18574,1677402514
homo.dev,up,mastodon,5,2813,8999,1612578268
sublimity.net,up,mastodon,3,56,3650,1668166791
ngmx.com,up,mastodon,12,24124,18043,1677137500
social.stefanberger.net,up,mastodon,1,3182,19258,1659170695
ms.maritime.social,up,mastodon,45,61,10853,1672080565
dreamgate4u.de,up,mastodon,1,0,176,1672162042
hugs.lgbt,up,mastodon,2,2472,15174,1696095437
social.hessen.de,up,mastodon,15,1380,3377,1676645170
howdidthisgethere.masto.host,up,mastodon,3,4005,10887,1670115567
ms.phocks.org,up,mastodon,1,918,7649,1709350743
angrydome.au,up,mastodon,2,499,4973,1667649260
bayerwald.cafe,up,mastodon,2,38,2754,1718053662
patogh.co,up,mastodon,1,1,75,1682298024
federate.blogpocket.com,up,mastodon,3,1299,12598,1672084831
never.legalizenuclearbombs.com,up,mastodon,3,88,10,1681125581
stoyko.space,up,mastodon,1,354,4306,1667721202
vt.social,up,mastodon,1064,127926,25733,1667802253
social.do.srb2.org,up,mastodon,2,17,573,1675541946
clar.ke,up,mastodon,6,1051,133200,1667625962
social.pneumasolutions.com,up,mastodon,15,236,3741,1682738963
reyuzenfold.com,up,mastodon,1,384,8519,1667919979
unstable.systems,up,mastodon,27,21581,22688,1651122351
muenster.im,up,mastodon,4316,258103,26555,1612578266
mastodon.raikee.fi,up,mastodon,3,73,5573,1690464208
tombraidersocial.com,up,mastodon,50,503,4847,1671510675
masto.globaleas.org,up,mastodon,310,555123,10695,1681620528
vyizis.tech,up,mastodon,3,17,5054,1682006358
nwpu.closed.social,up,mastodon,47,55,20,1675925764
ailbhean.co-shaoghal.net,up,mastodon,84,8994,15647,1665880251
hoops.chat,up,mastodon,1,4,1554,1668841041
mastodon.mcfood.org,up,mastodon,1,11,1797,1669684216
artistalley.space,up,mastodon,35,725,7686,1671288046
arvr.social,up,mastodon,1657,19485,18424,1668499404
cbctech.app,up,mastodon,3,0,2802,1669301134
m.eula.dev,up,mastodon,1,85647,22288,1612578268
mastodon.woojinkim.org,up,mastodon,6,15055,6723,1669034134
kalakukko.social,up,mastodon,10,672,2511,1670948167
imkerei.social,up,mastodon,3,46,1864,1667557100
toot.cairobraga.com,up,mastodon,1,4366,17630,1612581622
rasterdon.com,up,mastodon,5,72,3696,1671556869
mastodon.gaide.me,up,mastodon,1,6,3442,1671827773
gameswithcode.net,up,mastodon,1,4,3318,1679373832
persadon.com,up,mastodon,213,112882,23097,1612578266
social.neocloradas.com,up,mastodon,5,401,1380,1668905120
bscabl.ddns.net,up,mastodon,2,581,4879,1668386766
postin.dumbgeon.gay,up,mastodon,7,111,1940,1699928136
transmom.love,up,mastodon,10,11459,19127,1612578267
t.ghp.social,up,mastodon,2,1,212,1683502640
yamabi.co,up,mastodon,64,1006,7901,1612578266
451.place,up,mastodon,1,26,831,1690041087
m.jling.dev,up,mastodon,3,507,4042,1688914116
social.nokes.name,up,mastodon,1,1407,13763,1667611352
mn.statyvka.org.ua,up,mastodon,8,421,47,1612578347
mastodon.lwr.wtf,up,mastodon,9,255,10489,1668729294
some.sakulehti.fi,up,mastodon,2,8,469,1718988639
polaris.masto.host,up,mastodon,32,24136,0,1696284488
eleutheria.masto.host,up,mastodon,8,165,507,1683159954
tootz.org,up,mastodon,5,26,1885,1671142271
4458644.xyz,up,mastodon,1,50,6,1695319004
danampersanderic.social,up,mastodon,14,52,1768,1673249432
miekeroth.org,up,mastodon,1,29,823,1689417339
mstdn.yue-kichi.world,up,mastodon,2,7499,3018,1688370218
snapp.social,up,mastodon,13,7118,13325,1667500620
pc.cafe,up,mastodon,6,112,2521,1716200541
mastodon.hongkongers.net,up,mastodon,307,593077,19835,1669080546
mastodon.addo.art,up,mastodon,4,3,180,1699837644
toot.backbord.net,up,mastodon,1,1,14637,1677137509
hi.moe.tips,up,mastodon,4,25,2101,1633690927
social.masi.family,up,mastodon,2,3,1578,1620878723
mastodon.loopinfinito.fr,up,mastodon,2,0,871,1712776034
shoghi.rocks,up,mastodon,1,292,13538,1668823843
mstdn.bitwalker.eu,up,mastodon,4,2166,13158,1669389283
social.caa-ins.org,up,mastodon,637,6523,11443,1612578269
staging.social.mikutter.hachune.net,up,mastodon,4,229,343,1612578345
dcj.me,up,mastodon,1,48,6463,1675265359
mas.greatlakes.club,up,mastodon,3,497,8135,1671327492
social.webvsn.com,up,mastodon,8,1166,12424,1674428684
don.nekoport.com,up,mastodon,2,61598,545,1612578346
pidibi.com,up,mastodon,2,309,3244,1668592110
social.prosumer.dev,up,mastodon,1,927,11518,1672431376
i.transmit.love,up,mastodon,41,32155,3299,1701663639
hameln.social,up,mastodon,56,7847,9249,1651969778
j-ch.net,up,mastodon,3,14980,198,1684125970
verhu.xyz,up,mastodon,3,111,13784,1688520601
umet.us,up,mastodon,12,832,4362,1614228751
howdee.social,up,mastodon,5,3876,10592,1669882983
museum.community,up,mastodon,17,445,3947,1668545746
wokka.be,up,mastodon,91,7708,12749,1612578268
layer8.space,up,mastodon,2437,218950,55853,1612578265
social.cscip.io,up,mastodon,1,7,1935,1667301620
doghouse.social,up,mastodon,1,9,370,1668908591
bananen.software,up,mastodon,2,56,5431,1705402614
social.web-wi.de,up,mastodon,1,6,4836,1692812201
social.sndevs.com,up,mastodon,245,2092,16584,1670273747
mastodon.spv.sh,up,mastodon,1,2439,14811,1667676468
mastodon.vx0.dev,up,mastodon,10,980,13119,1668785844
nyan.live,up,mastodon,1,47,118506,1612578392
livingblindfully.social,up,mastodon,1,2382,11264,1679782875
mastodon.jgilje.net,up,mastodon,1,0,1733,1688573604
displayeurope.social,up,mastodon,29,217,4205,1695398051
artsocial.boston,up,mastodon,5,723,6931,1691171178
tokless.com,up,mastodon,2,9666,,1677763554
imd.social,up,mastodon,82,16434,17483,1612578267
social.sgsknote.org,up,mastodon,2,174,885,1692464206
line.yamanote.tokyo.jp,up,mastodon,3,2718,9265,1612578265
rail.chat,up,mastodon,338,19219,19775,1651104049
abend.social,up,mastodon,8,2793,7174,1667144646
alittle.social,up,mastodon,1,83,2637,1668772622
social.lochetfamily.com,up,mastodon,8,39,7484,1667899277
fedi.lair.be,up,mastodon,2,1060,6711,1682109761
mstdn.delmulin.com,up,mastodon,17,31855,7016,1615687747
mastodon.wingsman2.net,up,mastodon,3,0,406,1672811301
mastodon.brendans-bits.com,up,mastodon,1,65,11240,1685205772
mastodon.communick.com,up,mastodon,23,1586,18942,1612578268
social.jstsmthrgk.eu,up,mastodon,3,4272,6842,1670389291
cyphered.masto.host,up,mastodon,2,0,1268,1687644847
hedgebound.net,up,mastodon,2,17,3288,1687944903
social.pixels.pizza,up,mastodon,2,10597,20205,1667537253
twoot.space,up,mastodon,8,428,7872,1612579012
garrison.su,up,mastodon,1,5833,8579,1702936282
mess.social,up,mastodon,5,8,1817,1676960992
social.skewed.de,up,mastodon,11,17495,26345,1612578270
mstdn.mmmalia.com,up,mastodon,4,103,5971,1673632925
sebitech.social,up,mastodon,12,95,4559,1651072343
mastodon.sacamano.net,up,mastodon,6,72,2229,1687198739
handon.club,up,mastodon,339,4003879,14568,1612578266
social.stmh.io,up,mastodon,1,179,7832,1668904962
dice.camp,up,mastodon,8957,1017145,36175,1612578270
locksport.space,up,mastodon,38,456,11955,1667166993
social.lichfieldlive.co.uk,up,mastodon,3,4004,2676,1669253960
inkspill.co,up,mastodon,2,407,3304,1695319004
mtd.naraku.cc,up,mastodon,4,1,4138,1671159048
mastodon.girino.org,up,mastodon,8,2271,32295,1668904962
social.luckow.org,up,mastodon,2,200,4018,1677332173
mastodon.business,up,mastodon,5,321,6648,1612579467
catcatnya.com,up,mastodon,370,246957,28190,1650051322
jtrem.me,up,mastodon,1,70,6259,1681564842
dreamin.online,up,mastodon,56,1705,11189,1665474194
social.ridetrans.it,up,mastodon,278,67114,21864,1667032699
xcloud.zone,up,mastodon,8,285,7710,1668066903
mastodon.zwanenburg.info,up,mastodon,1,0,596,1695934501
mastodon.l0nax.org,up,mastodon,2,126,8596,1673664739
mstdn.costmiku.net,up,mastodon,4,91,3728,1706726078
social.dc6jgk.de,up,mastodon,1,13,3295,1612578708
mastodon.imagisphe.re,up,mastodon,7,72,2165,1694545640
flx.masto.host,up,mastodon,3,3052,13168,1673352534
rubber.social,up,mastodon,3921,184890,25134,1612578269
social.jabjab.de,up,mastodon,6,987,3641,1666952881
woof.lokinet.uk,up,mastodon,2,7,1540,1669371732
mastodon.colincogle.name,up,mastodon,1,440,7634,1709412578
digitalsektor.se,up,mastodon,7,21,50,1714683667
pone.social,up,mastodon,421,26878,13737,1612578270
mastodon.windoos.click,up,mastodon,1,17,4077,1612579200
thx.gg,up,mastodon,3,4030,18995,1667966499
social.tumelum.de,up,mastodon,2,709,9860,1627331569
toots.cc,up,mastodon,3,326,13328,1650070333
pub.atomaka.com,up,mastodon,1,0,1015,1671273514
augsburg.social,up,mastodon,389,42652,17425,1612578266
mastodon.brown-silva.social,up,mastodon,1,442,8735,1684261716
maro.xyz,up,mastodon,2,39,4023,1704223436
social.kallestruik.nl,up,mastodon,1,0,2830,1668560944
curttech.com,up,mastodon,1,1854,13437,1672535695
m.coolhost.fr,up,mastodon,5,169,3989,1668856448
blog.stegemann.de,up,mastodon,12,589,1839,1679076584
glitch.braydmedia.de,up,mastodon,3,892,6113,1715920368
seine.fleuv.es,up,mastodon,2,1810,5767,1681249747
paupau.masto.host,up,mastodon,1,15,2044,1612578345
eleusis.social,up,mastodon,2,248,8894,1667458558
social.tchncs.de,up,mastodon,22170,2949118,49118,1612578266
bbbdn.jp,up,mastodon,26,11360,1842,1612578265
spacenoid.social,up,mastodon,4,12,5204,1670840814
toot.imowl.net,up,mastodon,3,271,6044,1690416518
wolvesare.sexy,up,mastodon,2,275,8818,1667552784
mikroblog.at,up,mastodon,1,2,489,1675366770
erotica.social,up,mastodon,78,572,7531,1650966715
existentialcrisis.link,up,mastodon,4,461,17065,1668594334
pynews.com.br,up,mastodon,6,3424,13094,1687292004
m.km8v.net,up,mastodon,1,34,1603,1716586844
mastodon.cyborgcentral.net,up,mastodon,3,8223,19041,1668471901
toot.jkiviluoto.fi,up,mastodon,1,340,6048,1678843132
pouet.evolix.org,up,mastodon,5,0,2191,1670010179
mastodon.mlaga97.space,up,mastodon,3,37,6275,1672826966
trees.social,up,mastodon,8,10471,110615,1667938196
mastodon.tinynews.org,up,mastodon,1,33,688,1708181640
antisocialsocialnetwork.it,up,mastodon,2,29,772,1703189996
social.accum.se,up,mastodon,9,81,3795,1688431360
packetwarriors.net,up,mastodon,1,5,368,1669064516
daria.rotea.eu,up,mastodon,2,5,1,1702286216
social.dsbeans.com,up,mastodon,2,401,15898,1677469805
mstdn.jmiguel.eu,up,mastodon,1,97,6174,1668471901
mastodon.jannis-goeing.de,up,mastodon,4,265,12186,1651251064
social.masawada.me,up,mastodon,1,535,1111,1676291188
selfhosted.cafe,up,mastodon,34,10018,18087,1674081587
toot.zehaeva.com,up,mastodon,2,15,1348,1670100038
social.nogafam.zone,up,mastodon,2,8,3032,1668120805
graphvisualization.masto.host,up,mastodon,4,5,1087,1674538571
metro.social,up,mastodon,1,17,2809,1670094085
batchats.net,up,mastodon,21,1843,13903,1668242731
bahn.social,up,mastodon,390,78538,19979,1667646666
mastodon.localecho.net,up,mastodon,11,892,148003,1644321771
mastodon.familie-de-boer.net,up,mastodon,3,13,6981,1668694379
swiss-chaos.social,up,mastodon,122,2767,12082,1629407403
makerspace.au,up,mastodon,7,13,1282,1667898073
micah.social,up,mastodon,1,663,10923,1669133169
panzner.net,up,mastodon,3,922,11318,1677255131
lucaire.ovh,up,mastodon,1,353,3258,1668477786
mastodon.rhys.wtf,up,mastodon,1,4686,16973,1667781178
sidequest.social,up,mastodon,21,6516,0,1665621949
oransns.com,up,mastodon,616,975798,18854,1612578267
mast.pceninja.com,up,mastodon,1,291,5603,1668097937
m.onweb.idv.tw,up,mastodon,5,27,864,1669231895
ohai.social,up,mastodon,39337,1408098,35621,1667930033
